customer_id,customer_name,gender,age,city,account_type,account_status,bank_pk
1000,Allison Hill,Other,31,Hyderabad,NRI,Active,4-Axis-143-Ha
1001,Noah Rhodes,Male,41,Delhi,Current,Closed,3-Axis-184-Po
1002,Angie Henderson,Other,67,Kolkata,Savings,Closed,2-Axis-180-Ni
1003,Daniel Wagner,Other,54,Hyderabad,Current,Closed,3-Axis-192-Ca
1004,Cristian Santos,Male,57,Kolkata,Savings,Closed,3-Axis-150-La
1005,Connie Lawrence,Male,56,Chennai,Joint,Active,2-Axis-179-Po
1006,Abigail Shaffer,Other,49,Bangalore,Savings,Dormant,1-Axis-181-We
1007,Gina Moore,Female,53,Chennai,Savings,Active,5-Axis-137-No
1008,Gabrielle Davis,Other,67,Bangalore,NRI,Closed,2-Axis-140-St
1009,Ryan Munoz,Other,54,Hyderabad,Joint,Dormant,5-Axis-143-Ha
1010,Monica Herrera,Other,65,Hyderabad,Savings,Active,1-Axis-174-We
1011,Jamie Arnold,Other,31,Chennai,Joint,Active,2-Axis-195-Po
1012,Lisa Hensley,Male,44,Kolkata,NRI,Dormant,4-Axis-191-So
1013,Michele Williams,Other,36,Bangalore,Savings,Closed,3-Axis-115-We
1014,Dylan Miller,Female,48,Bangalore,Savings,Dormant,2-Axis-197-Po
1015,Brian Ramirez,Male,63,Delhi,NRI,Dormant,2-Axis-149-Po
1016,Holly Wood,Female,26,Mumbai,NRI,Closed,1-Axis-193-Ne
1017,Derek Zuniga,Female,55,Kolkata,Joint,Closed,4-Axis-137-No
1018,Lisa Jackson,Female,34,Kolkata,Joint,Dormant,2-Axis-185-Po
1019,Carla Gray,Female,36,Delhi,Joint,Closed,4-Axis-104-Or
1020,Margaret Hawkins DDS,Male,61,Hyderabad,Current,Dormant,5-Axis-108-Ea
1021,Patty Perez,Male,21,Chennai,Savings,Closed,2-Axis-176-Mu
1022,Ethan Adams,Female,65,Kolkata,Savings,Closed,4-Axis-138-La
1023,Tommy Walter,Female,28,Bangalore,Current,Closed,3-Axis-186-Ea
1024,Matthew Foster,Male,39,Delhi,Current,Dormant,1-Axis-126-So
1025,Judy Baker,Male,21,Chennai,Current,Active,4-Axis-131-Br
1026,Justin Baker,Male,34,Chennai,NRI,Active,1-Axis-163-Sh
1027,Stephanie Ross,Other,25,Kolkata,NRI,Dormant,2-Axis-194-Po
1028,Zachary Hicks,Other,63,Mumbai,Joint,Closed,2-Axis-132-Jo
1029,Anthony Rodriguez,Other,51,Bangalore,NRI,Dormant,5-Axis-189-Ne
1030,Rebecca Henderson,Female,28,Chennai,NRI,Dormant,1-Axis-117-Ke
1031,James Ferrell,Other,48,Bangalore,Current,Closed,3-Axis-175-Ne
1032,Tricia Valencia,Female,28,Kolkata,Savings,Closed,3-Axis-166-Ma
1033,Nathan Maldonado,Female,55,Delhi,Joint,Active,4-Axis-104-Or
1034,Debra Davidson,Other,38,Chennai,Joint,Dormant,3-Axis-177-Ta
1035,Jeffrey Chavez,Female,63,Kolkata,Joint,Active,1-Axis-158-Ea
1036,Sherri Baker,Other,47,Chennai,Savings,Dormant,2-Axis-175-Ne
1037,Cassandra Gaines,Other,27,Delhi,NRI,Active,1-Axis-103-La
1038,Elizabeth Fowler,Male,43,Bangalore,Joint,Active,1-Axis-115-We
1039,Brittany Farmer,Other,44,Bangalore,NRI,Dormant,2-Axis-174-We
1040,Paula Moreno,Male,25,Chennai,Savings,Dormant,1-Axis-199-No
1041,Fred Smith,Other,56,Kolkata,NRI,Closed,3-Axis-147-Ea
1042,Sherry Decker,Other,25,Delhi,Current,Dormant,4-Axis-165-So
1043,Anthony Humphrey,Male,25,Hyderabad,Savings,Dormant,4-Axis-176-Mu
1044,Angelica Tucker,Male,51,Bangalore,Savings,Active,1-Axis-107-Po
1045,Philip Cannon,Other,33,Hyderabad,Current,Dormant,2-Axis-143-Ha
1046,John Pierce,Female,58,Chennai,Joint,Active,5-Axis-120-Ea
1047,Shane Henderson,Male,30,Hyderabad,Current,Closed,1-Axis-125-Am
1048,Joshua Blair,Female,40,Kolkata,Savings,Active,1-Axis-134-No
1049,Eric Carney,Female,29,Kolkata,Joint,Active,5-Axis-114-La
1050,Jessica Holmes,Female,44,Hyderabad,NRI,Active,4-Axis-139-Ke
1051,Danny Morgan,Male,39,Kolkata,Savings,Dormant,4-Axis-129-Tr
1052,Crystal Robinson,Female,49,Bangalore,Savings,Dormant,5-Axis-165-So
1053,Mark Perez,Male,66,Chennai,Joint,Active,2-Axis-179-Po
1054,Shannon Jones,Female,44,Hyderabad,Savings,Dormant,1-Axis-112-Sm
1055,Michael Lewis,Other,19,Bangalore,Current,Dormant,3-Axis-100-Ea
1056,Timothy Duncan,Other,62,Hyderabad,Savings,Closed,4-Axis-142-Br
1057,Richard Aguirre,Male,50,Bangalore,Joint,Active,4-Axis-127-We
1058,Brent Jordan,Other,43,Kolkata,Savings,Dormant,4-Axis-100-Ea
1059,John Daniel,Other,45,Kolkata,Savings,Closed,2-Axis-139-Ke
1060,Victoria Garcia,Female,36,Chennai,Current,Closed,5-Axis-133-Da
1061,Gerald Hensley,Male,60,Kolkata,Savings,Dormant,2-Axis-112-Sm
1062,Connor West,Female,22,Delhi,Savings,Dormant,4-Axis-160-No
1063,Donald Wright,Female,50,Bangalore,Savings,Closed,1-Axis-165-So
1064,Jessica Callahan,Female,37,Bangalore,Current,Closed,4-Axis-103-La
1065,Amber Kidd,Female,47,Hyderabad,Joint,Active,1-Axis-188-Ea
1066,Tracy House,Female,62,Chennai,Current,Active,1-Axis-197-Po
1067,Carol Tucker,Female,25,Mumbai,Savings,Active,4-Axis-112-Sm
1068,James Brown,Female,55,Kolkata,Current,Dormant,4-Axis-135-Ea
1069,William Baker,Male,34,Mumbai,NRI,Dormant,1-Axis-195-Po
1070,Jordan Henderson,Other,61,Delhi,Current,Dormant,2-Axis-160-No
1071,Whitney Peters,Female,18,Chennai,Savings,Dormant,2-Axis-157-Mi
1072,Brittney Phillips,Female,20,Bangalore,NRI,Dormant,2-Axis-184-Po
1073,Lauren Daniels,Female,63,Mumbai,Joint,Dormant,3-Axis-189-Ne
1074,Amy Silva,Female,43,Delhi,Savings,Active,1-Axis-114-La
1075,Sarah Moore,Female,48,Chennai,NRI,Closed,3-Axis-192-Ca
1076,Angela Lopez,Female,25,Delhi,Joint,Closed,3-Axis-189-Ne
1077,Megan Young,Other,60,Kolkata,Current,Closed,1-Axis-184-Po
1078,Steve Sanchez,Other,63,Mumbai,NRI,Active,3-Axis-111-Me
1079,Lisa Barnes,Female,25,Hyderabad,Current,Closed,1-Axis-175-Ne
1080,Kelly Donovan,Other,52,Hyderabad,Current,Dormant,5-Axis-168-Ve
1081,Mike Allen,Male,56,Chennai,NRI,Dormant,5-Axis-160-No
1082,Michael Evans,Female,45,Delhi,NRI,Active,1-Axis-141-Ho
1083,Paul Jones,Male,68,Bangalore,Current,Dormant,1-Axis-189-Ne
1084,Zachary Ferrell,Male,21,Mumbai,Savings,Closed,1-Axis-131-Br
1085,Daniel Baker,Female,33,Hyderabad,Savings,Dormant,2-Axis-101-Ki
1086,Shirley Suarez,Other,30,Hyderabad,Joint,Dormant,1-Axis-107-Po
1087,Christopher Bass,Male,37,Delhi,Savings,Closed,4-Axis-190-Tu
1088,Lisa Archer,Female,68,Hyderabad,Savings,Dormant,5-Axis-153-Da
1089,Aimee Montoya,Male,22,Delhi,NRI,Dormant,5-Axis-107-Po
1090,Matthew Mcmillan,Male,54,Mumbai,NRI,Active,1-Axis-187-Ma
1091,Brian Rodriguez,Male,37,Delhi,Joint,Dormant,5-Axis-112-Sm
1092,Denise Jacobs,Male,41,Hyderabad,Current,Active,1-Axis-128-No
1093,Christina Walters,Other,53,Delhi,Current,Dormant,1-Axis-112-Sm
1094,John Whitehead,Male,51,Hyderabad,NRI,Active,5-Axis-157-Mi
1095,Anna Henderson,Male,62,Kolkata,Joint,Closed,5-Axis-162-Mo
1096,Aaron Wise,Male,65,Chennai,Joint,Active,4-Axis-186-Ea
1097,Deborah Figueroa,Other,51,Hyderabad,Current,Active,3-Axis-146-Br
1098,Jessica Smith,Male,36,Hyderabad,Joint,Closed,4-Axis-178-Po
